incluir_en_catalogo_final,bloque_tematico,subtema,nombre_capa,descripcion,tags,proveedor,tipo_acceso,url_endpoint,cobertura_geografica,cobertura_codigo,disponibilidad_municipal,campo_filtro,coste,requiere_registro,formato_datos,tematica_inspire,notas_limitaciones,capabilities,pts_tematica,pts_cobertura,pts_fuente,pts_tecnica,total_pts,prioridad_app,justificacion_prioridad,estado_revision,referencia,,,,,,,,
si,Cartografia base e imagenes,Mapa base simplificado,Mapa Base de España - IGNBaseSimplificado,,,IGN / CNIG / IDEE,XYZ/TMS raster tiles,https://tms-ign-base.idee.es/1.0.0/IGNBaseSimplificado/{z}/{x}/{-y}.png,Nacional,,BBOX,,Gratuita,No,PNG,Nombres geográficos; unidades administrativas; redes de transporte; hidrografía,Mapa base ráster simplificado para visualización; usa coordenada {-y}; requiere cliente compatible con TMS/XYZ invertido; atribución IGN-CNIG/IDEE obligatoria,na,2,2,2,2,8,P0 - MVP,Base ligera oficial.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign | https://www.ign.es/web/ign/portal/politica-datos,,,,,,,,
si,Cartografia base e imagenes,Mapa base vectorial,Mapa Base de España,,,IGN / CNIG,WMTS,https://www.ign.es/wmts/ign-base,Nacional,,BBOX,,Gratuita,No,Imagen teselada / WMTS,Base cartográfica,Teselas vectoriales,https://www.ign.es/wmts/ign-base?request=GetCapabilities&service=WMTS,2,2,2,2,8,P0 - MVP,Base oficial teselada.,Revisada,Infraestructuras de Datos Espaciales - Instituto Geográfico Nacional,,,,,,,,
si,Cartografia base e imagenes,Mapa base vectorial,Mapa Ciudadano,,,Sistema Cartográfico Nacional / IDEE / IGN-CNIG,XYZ vector tiles / MVT,https://vt-mapabase.idee.es/1.0.0/mapabase/{z}/{x}/{y}.pbf,Nacional,,BBOX,,Gratuita,No,PBF / Mapbox Vector Tile; estilos JSON,"Varios: unidades administrativas, redes de transporte, hidrografía, nombres geográficos, elevación",Servicio de teselas vectoriales para visualización; requiere cliente compatible MVT y estilo; atribución IGN-CNIG/SCN; no es un endpoint de descarga masiva ni de consulta alfanumérica,na,2,2,2,2,8,P0 - MVP,Vector tiles oficiales; alta utilidad.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Modelos digitales de elevaciones,Modelo Digital de Elevaciones de España,,,IGN-CNIG / IDEE,XYZ raster tiles,https://xyz-mdt.idee.es/1.0.0/raster-dem/{z}/{x}/{y}.png,Nacional,,BBOX,,Gratuita,No,PNG,Elevation - EL,Servicio ráster de visualización derivado de modelos digitales de elevación; usa esquema XYZ estándar con {y}; no sustituye a la descarga de MDT/MDE para análisis cuantitativo; atribución IGN-CNIG obligatoria,na,2,2,2,2,8,P0 - MVP,Elevación básica útil para análisis municipal.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Modelos digitales de elevaciones,Modelo Digital del Terreno de España,,,IGN / CNIG,WMTS,https://servicios.idee.es/wmts/mdt,Nacional ,,BBOX,,Gratuita,No,Imagen WMS,Elevation - EL,"Útil para altitud, relieve, sombreado, pendientes y análisis territorial. El WMS sirve para visualización; GetFeature disponible. Para análisis se requiere MDT descargable o WCS/API Coverages.",https://wmts-mapa-lidar.idee.es/lidar?request=GetCapabilities&service=WMTS,2,2,2,2,8,P0 - MVP,MDT oficial teselado.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Ortofotos,Ortoimágenes de España (satélite Sentinel2 y ortofotos del PNOA máxima actualidad y ortoimágenes verdaderas núcleos urbanos),,,IGN / CNIG / PNOA,WMTS ,https://www.ign.es/wmts/pnoa-ma,Nacional,,BBOX,,Gratuita,No,Imagen WMS,Orthoimagery - OI,"Ortoimagen, zonas de delimitación, imagen de fondo",https://www.ign.es/wmts/pnoa-ma?request=GetCapabilities&service=WMTS,2,2,2,2,8,P0 - MVP,Ortofoto oficial teselada.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Ortofotos,Ortoimágenes MA de España - Sentinel2 y PNOA MA,,,IGN-CNIG / IDEE / PNOA,XYZ/TMS raster tiles,https://tms-pnoa-ma.idee.es/1.0.0/pnoa-ma/{z}/{x}/{-y}.jpeg,Nacional,,BBOX,,Gratuita,No,JPEG,Orthoimagery - OI,Servicio de visualización de ortoimágenes de máxima actualidad; combina disponibilidad de PNOA MA y Sentinel-2 según escala/zona; usa coordenada {-y}; atribución IGN-CNIG/PNOA obligatoria,na,2,2,2,2,8,P0 - MVP,Muy fácil de integrar como ortofoto base.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Cartografía raster,Cartografía Ráster de España del IGN,,,IGN / CNIG,WMS,https://www.ign.es/wms-inspire/mapa-raster,Nacional ,,BBOX,,Gratuita,No,WMS,Base cartográfica,Muy útil como capa base general.,ign.es/wms-inspire/mapa-raster?request=GetCapabilities&service=WMS,2,2,2,1,7,P0 - MVP,Base cartográfica oficial.,Revisada,Infraestructuras de Datos Espaciales - Instituto Geográfico Nacional,,,,,,,,
si,Cartografia base e imagenes,Mapa base vectorial,Mapa Base de España,,,IGN / CNIG,WMS / Descarga,https://www.ign.es/wms-inspire/ign-base,Nacional,,BBOX,,Gratuita,No,WMS / GeoTIFF,Base cartográfica,Servicio nacional de teselas vectoriales. No permite consulta directa por municipio; la adaptación municipal se realiza centrando el visor en el bbox/geometría del municipio y superponiendo su límite administrativo,ign.es/wms-inspire/ign-base?request=GetCapabilities&service=WMS,2,2,2,1,7,P0 - MVP,Base oficial; WMS menos flexible que vector tiles.,Revisada,Infraestructuras de Datos Espaciales - Instituto Geográfico Nacional,,,,,,,,
si,Cartografia base e imagenes,Modelos digitales de elevaciones,Modelo Digital del Terreno de España,,,IGN / CNIG,WMS,https://servicios.idee.es/wms-inspire/mdt,Nacional,,BBOX,,Gratuita,No,Imagen WMS,Elevation - EL,"Útil para altitud, relieve, sombreado, pendientes y análisis territorial. El WMS sirve para visualización; GetFeature disponible. Para análisis se requiere MDT descargable o WCS/API Coverages.",https://servicios.idee.es/wms-inspire/mdt?request=GetCapabilities&service=WMS,2,2,2,1,7,P0 - MVP,MDT oficial; WMS visual.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Ortofotos,Ortoimágenes de España (satélite Sentinel2 y ortofotos del PNOA máxima actualidad y ortoimágenes verdaderas núcleos urbanos),,,IGN / CNIG / PNOA,WMS,https://www.ign.es/wms-inspire/pnoa-ma,Nacional,,BBOX,,Gratuita,No,Imagen WMS,Orthoimagery - OI,"Ortoimagen, zonas de delimitación, imagen de fondo",https://www.ign.es/wms-inspire/pnoa-ma?request=GetCapabilities&service=WMS,2,2,2,1,7,P0 - MVP,Ortofoto oficial esencial.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Relieve del terreno,Relieve del terreno de España - MDT 25 m,,,IGN-CNIG / IDEE,XYZ/TMS raster tiles,https://tms-relieve.idee.es/1.0.0/relieve/{z}/{x}/{-y}.jpeg,Nacional,,BBOX,,Gratuita,No,JPEG,Elevación,"Servicio ráster de visualización del relieve derivado del MDT con paso de malla 25 m; usa coordenada {-y}; adecuado como capa de contexto, no como dato analítico de elevación; atribución IGN-CNIG obligatoria",na,1,2,2,2,7,P0 - MVP,Capa base de relieve muy útil.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Geodesia y sistemas de referencia,Redes Geodésicas del IGN de España,,,IGN-CNIG,OGC WFS,https://www.ign.es/wfs/redes-geodesicas,Nacional,,BBOX,,Gratuita,No,GML/ XML/application/json,Coordinate Reference Systems - RS / Geographical Grid Systems - GG,"No usa ruta wfs-inspire, pero la temática se relaciona con los sistemas de referencia y la infraestructura geodésica. Requiere cliente compatible WFS; atribución IGN-CNIG obligatoria",https://www.ign.es/wfs/redes-geodesicas?service=WFS&request=GetCapabilities,0,2,2,2,6,P1 - Alta,Vectorial oficial; uso técnico.,Revisada,https://www.ign.es/wfs/redes-geodesicas | https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Modelos digitales de elevaciones,Modelo Digital de Superficies LiDAR de España,,,IDEE,WMTS / Descarga,https://wmts-mapa-lidar.idee.es/lidar,Nacional,,BBOX,,Gratuita,No,WMTS,Elevaciones, A partir de las nubes de puntos LiDAR correspondientes a la primera cobertura del proyecto PNOA-LiDAR ,https://wmts-mapa-lidar.idee.es/lidar?request=GetCapabilities&service=WMTS,1,2,2,1,6,P1 - Alta,"Muy útil, pero más pesada/especializada.",Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Ortofotos,Ortofotos históricas de España y PNOA anual,,,IGN / CNIG / PNOA,WMS,https://www.ign.es/wms/pnoa-historico,Nacional,,BBOX,,Gratuita,No,Imagen WMS,Orthoimagery - OI,Puede no estar disponible homogéneamente en todo el territorio.,https://www.ign.es/wms/pnoa-historico?request=GetCapabilities&service=WMS,1,2,2,1,6,P1 - Alta,Muy útil para comparación temporal.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Pendientes,Modelo Digital de Pendientes de España,,,IGN-CNIG / IDEE,OGC WCS 2.0.1,https://wcs-pendientes.idee.es/pendientes,Nacional ,,BBOX,,Gratuita,No,WCS: formatos según GetCapabilities; producto asociado en COG / GeoTIFF,Elevation - EL,Servicio de descarga de coberturas ráster. El MDP05 tiene paso de malla de 5 m y almacena el valor de la pendiente en grados sexagesimales; derivado del MDT-LiDAR de 1ª cobertura. Requiere cliente compatible WCS; no es un servicio vectorial ni de consulta alfanumérica municipal,https://wcs-pendientes.idee.es/pendientes?request=GetCapabilities&service=WCS&version=2.0.1,1,2,2,1,6,P1 - Alta,Útil para análisis territorial; WCS más complejo.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Pendientes,Modelo Digital de Pendientes MDP05WMS,,,IGN / CNIG,WMS,https://wms-pendientes.idee.es/pendientes,Nacional,,BBOX,,Gratuita,No,Imagen WMS,Elevation - EL,"Útil para análisis territorial, accesibilidad, riesgos y planeamiento. Como WMS es visual; para análisis cuantitativo se requiere raster o servicio de coberturas asociado.",https://wms-pendientes.idee.es/pendientes?request=GetCapabilities&service=WMS,1,2,2,1,6,P1 - Alta,Pendientes oficiales; WMS visual.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Base topográfica ,Minutas del Mapa Topográfico Nacional 1:50.000 (catastrones) 1910-1970,,,IGN / CNIG,WMS,https://www.ign.es/wms/primera-edicion-mtn,Nacional,,BBOX,,Gratuita,No,Imagen WMS,No aplica estrictamente / cartografía histórica,Útil para análisis histórico-territorial y comparación con cartografía actual. No es fuente municipal directa.,https://www.ign.es/wms/primera-edicion-mtn?request=GetCapabilities&service=WMS,0,2,2,1,5,P1 - Alta,Cartografía histórica; útil para análisis evolutivo.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Cuadrículas cartográficas,Cuadrículas cartográficas,,,IGN / CNIG,WMS,https://www.ign.es/wms-inspire/cuadriculas,Nacional,,BBOX,,Gratuita,No,Imagen WMS,Geographical Grid Systems - GG,"Útil para mostrar hojas, cuadrículas o marcos cartográficos de referencia. No es una fuente municipal directa.",ign.es/wms-inspire/cuadriculas?request=GetCapabilities&service=WMS,0,2,2,1,5,P1 - Alta,"Útil como referencia cartográfica, no esencial.",Revisada,Infraestructuras de Datos Espaciales - Instituto Geográfico Nacional,,,,,,,,
si,Cartografia base e imagenes,Fototeca / vuelos fotogramétricos históricos,Fototeca,,,IGN / CNIG,WMS,https://wms-fototeca.idee.es/fototeca,Nacional,,BBOX,,Gratuita,No,Imagen WMS,Orthoimagery - OI,Permite visualizar coberturas/vuelos históricos disponibles. La disponibilidad temporal y espacial puede variar según zona.,https://wms-fototeca.idee.es/fototeca?request=GetCapabilities&service=WMS,0,2,2,1,5,P1 - Alta,Histórica; útil para consulta/evolución territorial.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Geodesia y sistemas de referencia,Redes Geodésicas del IGN de España,,,IGN / CNIG / IDEE,WMS,https://www.ign.es/wms-inspire/redes-geodesicas,Nacional ,,BBOX,,Gratuita,No,Imagen WMS; datos vectoriales en servicios asociados,Coordinate Reference Systems - RS / Geographical Grid Systems - GG,"Útil para aplicaciones técnicas, topografía y referencia geodésica. No suele ser prioritaria para un visor municipal generalista.",https://www.ign.es/wms-inspire/redes-geodesicas?request=GetCapabilities&service=WMS,0,2,2,1,5,P1 - Alta,Técnica; útil para aplicaciones especializadas.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Modelos digitales de elevaciones,"Modelo Digital de Superficies de España - 5 y 2,5 m",,,IGN-CNIG / IDEE,OGC WCS 2.0.1,https://wcs-mds.idee.es/mds,Nacional,,BBOX,,Gratuita,No,WCS: formatos según GetCapabilities; productos asociados en COG / GeoTIFF,Elevation - EL,"Servicio WCS para descarga de coberturas del MDS. Incluye MDS de 5 m y modelos normalizados de superficies de vegetación y edificación de 2,5 m. Derivado de nubes de puntos LiDAR PNOA; las coberturas normalizadas expresan alturas relativas al suelo, no altitudes ortométricas. Requiere cliente compatible WCS",https://wcs-mds.idee.es/mds?request=GetCapabilities&service=WCS&version=2.0.1,1,2,2,0,5,DESC - Descartada,Registro incompleto: falta endpoint y tipo integrable.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Mosaicos de satélite históricos,Mosaicos de Satélite históricos de España,,,IGN / CNIG,WMS,https://wms-satelites-historicos.idee.es/satelites-historicos,Nacional,,BBOX,,Gratuita,No,Imagen WMS,Orthoimagery - OI / Environmental Monitoring Facilities - EF,Útil para análisis temporal y visualización histórica del territorio. La disponibilidad temporal puede variar.,https://wms-satelites-historicos.idee.es/satelites-historicos?request=GetCapabilities&service=wms,0,2,2,1,5,P1 - Alta,Histórico; útil para análisis evolutivo.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Planimetrías y minutas cartográficas,Planimetrías de España(1870-1950),,,IGN / CNIG,WMS,https://www.ign.es/wms/minutas-cartograficas,Nacional,,BBOX,,Gratuita,No,Imagen WMS,No aplica estrictamente / cartografía histórica,"Útil para patrimonio, evolución urbana e historia territorial. La disponibilidad y calidad puede variar por zona.",https://www.ign.es/wms/minutas-cartograficas?request=GetCapabilities&service=WMS,0,2,2,1,5,P1 - Alta,"Histórica; valor para estudios, no MVP.",Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Base topográfica ,"Primera edición del MTN50, MTN25 y Minutas MTN50 (catastrones) (1910-1970) de España",,,IGN / CNIG,WMTS,https://www.ign.es/wmts/primera-edicion-mtn,Nacional,,BBOX,,Gratuita,No,Imagen WMTS,No aplica estrictamente / cartografía histórica,Útil para análisis histórico-territorial y comparación con cartografía actual. No es fuente municipal directa.,https://www.ign.es/wmts/primera-edicion-mtn?request=GetCapabilities&service=WMTS,0,2,2,0,4,DESC - Descartada,Registro incompleto: falta endpoint/tipo operativo.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Modelos digitales de elevaciones,"Modelos Digitales del Terreno de España - 1000, 200, 25 y 5 m",,,IGN-CNIG / IDEE,OGC WCS 2.0.1,https://servicios.idee.es/wcs-inspire/mdt,Nacional,,BBOX,,Gratuita,No,"GeoTIFF; ASCII; PNG; JPEG; GIF; multipart GML + ráster, según WCS",Elevation - EL,"Servicio de descarga WCS de MDT conforme a INSPIRE. Los MDT contienen altitudes ortométricas y se ofrecen en varios sistemas de referencia, entre ellos ETRS89-UTM30, REGCAN95-UTM28 y ETRS89 geográficas. La documentación oficial también menciona cobertura de 500 m en el WCS, aunque el listado del IGN agrupa el servicio como 1000, 200, 25 y 5 m. Requiere cliente compatible WCS y conviene limitar las peticiones por bbox para evitar descargas pesadas",https://servicios.idee.es/wcs-inspire/mdt?request=GetCapabilities&service=WCS&version=2.0.1,0,2,2,0,4,DESC - Descartada,Registro incompleto y producto demasiado general.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Ortofotos ,WMS de ortofotos expeditas y rápidas (provisionales) del PNOA de España,,,IGN / CNIG / PNOA,WMS,https://wms-pnoa.idee.es/pnoa-provisionales,Nacional,,BBOX,,Gratuita,No,Imagen WMS,Orthoimagery - OI,No disponible homogéneamente en todo el territorio. ,https://wms-pnoa.idee.es/pnoa-provisionales?&service=WMS&request=GetCapabilities,0,1,2,1,4,P2 - Media,"Cobertura desigual/provisional, útil en emergencias.",Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Cartografía histórica urbana,Hojas kilométricas Madrid - 1860,,,IGN / CNIG,WMS,https://www.ign.es/wms/hojas-kilometricas,provincial,28,BBOX,,Gratuita,No,Imagen WMS,No aplica estrictamente / cartografía histórica,"Capa histórica específica, no aplicable a todos los municipios de España. Útil para análisis histórico urbano en Madrid o zona cubierta.",https://www.ign.es/wms/hojas-kilometricas?request=GetCapabilities&service=WMS,0,0,2,1,3,DESC - Descartada,Cobertura demasiado localizada para app municipal replicable nacional.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Cartografia base e imagenes,Cartografía histórica urbana,Planos históricos de Madrid (1622-1960),,,IGN / CNIG,WMTS,https://www.ign.es/wmts/planos,provincial,28,BBOX,,Gratuita,No,Imagen WMTS,No aplica estrictamente / cartografía histórica,"Capa histórica específica, no aplicable a todos los municipios de España. Útil para análisis histórico urbano en Madrid o zona cubierta.",https://www.ign.es/wmts/planos?request=GetCapabilities&service=WMTS,0,0,2,1,3,DESC - Descartada,Cobertura demasiado localizada.,Revisada,https://www.ign.es/web/ide-area-nodo-ide-ign,,,,,,,,
si,Catastro y edificación,Callejero y direcciones,Direcciones,,,CartoCiudad / IGN-CNIG,OGC WFS / WFS INSPIRE,https://www.cartociudad.es/wfs-inspire/direcciones,Nacional,,BBOX,,Gratuita,No,GML / XML,Addresses - AD,decuado para descarga y consulta de objetos geográficos; para usos masivos conviene acotar por bbox/filtros. Requiere cliente compatible WFS. Atribución obligatoria según condiciones IGN-CNIG/CartoCiudad,https://www.cartociudad.es/wfs-inspire/direcciones?service=WFS&request=GetCapabilities,2,2,2,2,8,P0 - MVP,Direcciones oficiales; esencial para búsqueda/localización.,Revisada,https://www.cartociudad.es/wfs-inspire/direcciones | https://www.ign.es/web/ide-area-nodo-ide-ign | https://www.cartociudad.es/web/portal/direcciones-postales,,,,,,,,
si,Catastro y edificación,Callejero y direcciones,Direcciones,,,IDEE,WFS,https://www.cartociudad.es/wfs-inspire/direcciones,Nacional,,BBOX,,Gratuita,No,GML/XML,Addresses - AD,Fuente esencial para geocodificación y localización de portales; permite consulta de atributos.,https://www.cartociudad.es/wfs-inspire/direcciones?request=GetCapabilities&service=WFS,2,2,2,2,8,P0 - MVP,Fuente oficial de referencia nacional para direcciones; gratuita y técnica integrable para servicios de geocodificación municipal.,Revisada,https://idee.es/segun-tipo-de-servicio,,,,,,,,
si,Catastro y edificación,Callejero y direcciones,Direcciones y códigos postales de España,,,IDEE,WMS ,https://www.cartociudad.es/wms-inspire/direcciones-ccpp,Nacional,,BBOX,,Gratuita,No,Imagen WMS; posible GetFeatureInfo si está habilitado,Addresses - AD,"Muy útil para contexto urbano, direcciones y códigos postales. Como WMS es principalmente visual; para explotación analítica conviene revisar WFS/API de CartoCiudad.",cartociudad.es/wms-inspire/direcciones-ccpp?request=GetCapabilities&service=WMS,2,2,2,1,7,P0 - MVP,Muy útil como contexto urbano; WMS visual.,Revisada,Infraestructuras de Datos Espaciales - Instituto Geográfico Nacional,,,,,,,,
si,Catastro y edificación,Callejero y direcciones,Direcciones ,,,DGC,WFS,https://ovc.catastro.meh.es/INSPIRE/wfsAD.aspx,Nacional,,BBOX,,Gratuita,No,GML,Addresses - AD,Direcciones oficiales vinculadas a la referencia catastral; requiere tratamiento de GML INSPIRE.,https://ovc.catastro.meh.es/INSPIRE/wfsAD.aspx?request=GetCapabilities&service=WFS,2,2,2,2,8,P0 - MVP,Dato oficial indispensable para gestión tributaria y vinculación con el parcelario; alta confianza y disponibilidad nacional.,Revisada,https://idee.es/segun-tipo-de-servicio,,,,,,,,
si,Catastro y edificación,Edificaciones catastrales,Edificaciones,,,DGC,WFS,https://ovc.catastro.meh.es/INSPIRE/wfsBU.aspx,Nacional,,BBOX,,Gratuita,No,WMS,Buildings - BU,WMS INSPIRE de edificaciones catastrales; soporta GetFeatureInfo. Cobertura peninsular e insular; excluye territorios forales.,ovc.catastro.meh.es/INSPIRE/wfsBU.aspx?request=GetCapabilities&service=WFS,2,2,2,2,8,P0 - MVP,,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Catastro y edificación,Edificaciones catastrales,Edificaciones,,,DGC,ATOM,https://www.catastro.hacienda.gob.es/INSPIRE/buildings/ES.SDGC.bu.atom.xml,Nacional,,FILTRABLE,,Gratuita,No,GML,Buildings - BU,ATOM feed de edificaciones catastrales filtrable por municipio (código INE). Ideal para ETL municipal. Excluye territorios forales.,https://www.catastro.hacienda.gob.es/INSPIRE/buildings/ES.SDGC.bu.atom.xml,2,2,2,2,8,P0 - MVP,,Revisada,Geoportal IDEE,,,,,,,,
si,Catastro y edificación,Parcelario catastral,Cartografía catastral,,,DGC,WMS,http://ovc.catastro.meh.es/Cartografia/WMS/ServidorWMS.aspx,Nacional,,BBOX,,Gratuita,No,WMS,Cadastral Parcels - CP,Parcelas catastrales; soporta GetFeatureInfo por referencia catastral. Cobertura peninsular e insular; excluye Navarra y País Vasco.,ovc.catastro.meh.es/Cartografia/WMS/ServidorWMS.aspx?request=GetCapabilities&service=WMS,2,2,2,2,8,P0 - MVP,"Fuente oficial esencial para análisis municipal y parcelario; gratuita, sin registro y con GetFeatureInfo, aunque excluye Navarra y País Vasco.",Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Catastro y edificación,Parcelario catastral,Parcelas Catastrales,,,DGC,ATOM,https://www.catastro.hacienda.gob.es/INSPIRE/CadastralParcels/ES.SDGC.CP.Atom.xml,Nacional,,ATOM,,Gratuita,No,GML,Cadastral Parcels - CP,ATOM feed de parcelas catastrales filtrable por código INE de municipio. Ideal para ETL municipal. Excluye territorios forales.,https://www.catastro.hacienda.gob.es/INSPIRE/CadastralParcels/ES.SDGC.CP.Atom.xml,2,2,2,2,8,P0 - MVP,,Revisada,Geoportal IDEE,,,,,,,,
si,Clima y meteorología,Datos meteorológicos y climatológicos,AEMET OpenData,,,AEMET,API REST,https://opendata.aemet.es/centrodedescargas/inicio,Nacional,,API,,Gratuita,Sí (gratuito),GeoJSON,Meteorological Geographical Features - MF,Acceso vía portal para desarrolladores. Requiere API Key para peticiones GET.,AEMET OpenData,1,2,2,1,6,P1 - Alta,API oficial para datos climáticos; se indica el portal de gestión como endpoint al requerir autenticación obligatoria.,Revisada,AEMET OpenData - Agencia Estatal de Meteorología - AEMET. Gobierno de España,,,,,,,,
si,Clima y meteorología,Estaciones meteorológicas,,,,,,,,,,,,,,,,,,,,,,,,Pendiente,,,,,,,,,
si,Demografía,Secciones censales,Seccionado Estadístico de España,,,INE - Unidad de Infraestructura de Datos Espaciales,WFS / Descarga directa,https://www.ine.es/geoserver/WMS_INE_SECCIONES_G01/wms,Nacional,,BBOX,,Gratuita,No,SHP/GeoJSON/KML/GML/,Statistical Units - SU,Descarga de geometria de secciones censales por provincia o conjunto nacional. Imprescindible para visualización demográfica inframunicipal. Requiere unión tabular de la geometría con datos INE por código de sección para tener indicadores demográficos . Actualización anual.,ine.es/geoserver/WMS_INE_SECCIONES_G01/wms?service=WFS&request=GetCapabilities,2,2,2,2,8,P0 - MVP,"Fuente oficial imprescindible para indicadores demográficos inframunicipales; gratuita y nacional, aunque requiere unión tabular con datos INE.",Revisada,Inicio / Datos Abiertos /Cartografía secciones censales,,,,,,,,
si,Demografía,Estadísticas municipales,Series estadísticas municipales,,,INE,API REST,https://servicios.ine.es/wstempus/js/{idioma}/{función}/{input}[?parámetros],Nacional,,API,,Gratuita,No,JSON,Population Distribution - PD,API para consulta de series estadísticas del INE por municipio; cubre padrón,na,2,2,2,2,8,P0 - MVP,"Fuente oficial para indicadores demográficos municipales; cobertura nacional, gratuita, sin registro e integrable mediante API INE/JSON, aunque requiere tratamiento tabular y unión con geometrías municipales.",Revisada,Inicio / Datos abiertos / API JSON /API JSON,,,,,,,,
si,Economía,Renta municipal e inframunicipal,,,,,,,,,,,,,,,,,,,,,,,,Pendiente,,,,,,,,,
si,Energía e infraestructura,Potencial solar fotovoltaico de edificios,Potencial Solar de los edificios ,,,IGN / CNIG,WMS,https://wms-potencial-solar.idee.es/potencial-solar,Nacional,,BBOX,,Gratuita,No,WMS,Energy resources - ER,"Capa vectorial (puntos) con la capacidad fotovoltaica por edificio y malla puntual de 2 m para identificar la mejor ubicación de placas solares. Generada con edificios de Catastro (+ Navarra y País Vasco), MDS de 2 m del IGN derivado de LiDAR y radiación solar de PVGIS. Muy útil a escala municipal para planes de transición energética. Limitación: el resultado es estimación no vinculante; servicio de visualización (sin WFS público), requiere consulta GetFeatureInfo o procesos OGC API asociados para extraer valores.",https://wms-potencial-solar.idee.es/potencial-solar?request=GetCapabilities&service=WMS,1,2,2,1,6,P1 - Alta,Alto valor para transición energética; no básico.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
si,Equipamientos y servicios,Equipamientos educativos,,,,,,,,,,,,,,,,,,,,,,,,Pendiente,,,,,,,,,
si,Equipamientos y servicios,Equipamientos sanitarios,,,,,,,,,,,,,,,,,,,,,,,,Pendiente,,,,,,,,,
si,Ganadería ,Comarcalización ganadera,Comarcas Ganaderas,,,MAPA,WMS,https://wms.mapama.gob.es/sig/Ganaderia/ComarcasGanaderas,Nacional,,BBOX,,Gratuita,No,WMS,Agricultural and Aquaculture Facilities - AF,Delimitación de comarcas ganaderas a nivel nacional. Útil como capa de contexto territorial supramunicipal para análisis ganaderos. Limitación: agregación supramunicipal.  no aporta detalle al interior del municipio.,https://wms.mapama.gob.es/sig/Ganaderia/ComarcasGanaderas?request=GetCapabilities&service=WMS,0,1,2,1,4,P2 - Media,Contexto supramunicipal; poco detalle municipal.,Revisada,https://idee.es/web/idee/segun-tipo-de-servicio,,,,,,,,
